method,transformation,accuracy,euk_acc,pro_acc,learning time,prediction time
linear svc,freq,0.5,0.0,1.0,0.015501022338867188,0.017495155334472656
linear svc,clr,0.9188311688311688,0.9285714285714286,0.9090909090909091,0.012562274932861328,0.0005068778991699219
linear svc,k-means(k=256),0.9642857142857143,0.9285714285714286,1.0,0.021764755249023438,0.0003192424774169922
