C,gamma,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
0.1,1.0,0.5,0.0,1.0,0.005938053131103516,0.007579326629638672
0.1,10.0,0.5,0.0,1.0,0.005214333534240723,0.007611632347106934
10.0,1.0,0.5,0.0,1.0,0.0060149431228637695,0.008983612060546875
10.0,10.0,0.5,0.0,1.0,0.007224917411804199,0.008946061134338379
