C,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
1.0,0.8127979460008639,0.6980402222749724,0.9275556697267552,0.3694509506225586,0.02341318130493164
1.4384498882876628,0.8438977830117107,0.7719466505747061,0.9158489154487153,0.29399948120117186,0.025246381759643555
2.0691380811147897,0.8666524525024093,0.8208579407819663,0.9124469642228522,0.44397592544555664,0.02572622299194336
2.976351441631318,0.8818832319009131,0.8499183485530105,0.9138481152488156,0.4767540454864502,0.027594900131225585
4.281332398719393,0.8942371142576164,0.8713241119153914,0.9171501165998415,0.4257781505584717,0.027849435806274414
6.158482110660264,0.9043408156286219,0.8872289129060764,0.9214527183511676,0.5506977081298828,0.025905895233154296
8.858667904100825,0.9137309211738962,0.8999056217950734,0.9275562205527187,0.6007740497589111,0.0280397891998291
12.742749857031335,0.9231110071997636,0.9124621414700693,0.9337598729294578,0.6519093036651611,0.026298046112060547
18.329807108324356,0.9306779612154058,0.9211921969244145,0.9401637255063969,0.7085526943206787,0.02767782211303711
26.366508987303583,0.938643697286157,0.9305197665140408,0.9467676280582733,0.5885310649871827,0.024527454376220705
37.926901907322495,0.945312547387864,0.9380538642155025,0.9525712305602252,0.9226027011871338,0.028694820404052735
54.55594781168517,0.9507635906264971,0.94415269821568,0.9573744830373144,1.2384093761444093,0.0264188289642334
78.47599703514611,0.9542496010739601,0.9470223676345677,0.9614768345133526,0.9530838966369629,0.02539548873901367
112.88378916846884,0.9576039930569443,0.9507295006248982,0.9644784854889907,1.4385764598846436,0.025408315658569335
162.3776739188721,0.9605486230638476,0.9543171593876284,0.9667800867400667,1.624399471282959,0.025379228591918945
233.57214690901213,0.9633539792076036,0.9574264207494773,0.9692815376657297,1.828084135055542,0.02644200325012207
335.9818286283781,0.9651707612282016,0.9594589840901225,0.9708825383662802,2.198581314086914,0.02559695243835449
483.2930238571752,0.9663080280932576,0.9611332677452475,0.9714827884412678,2.4783230304718016,0.026962089538574218
695.1927961775606,0.9685033469481009,0.9641230548794961,0.9728836390167055,2.6288639545440673,0.025253677368164064
1000.0,0.9695016117490003,0.9653190841310197,0.9736841393669808,2.4217357635498047,0.02265458106994629
