hidden_layer_sizes,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
50,0.9820738620171534,0.9777556290879348,0.986392094946372,7.014744091033935,0.0369469165802002
100,0.983193197837194,0.9785934501525781,0.98779294552181,8.439776182174683,0.03437848091125488
150,0.9843803467174762,0.9802674478131426,0.9884932456218098,10.558411788940429,0.03725728988647461
200,0.9836506099932668,0.9799085246398613,0.9873926953466723,12.376539707183838,0.04007048606872558
250,0.984030089419516,0.9802672333172223,0.98779294552181,14.299013090133666,0.044240903854370114
300,0.9843595295074916,0.9806260134932234,0.98809304552176,16.330466270446777,0.045269012451171875
350,0.9846487138571272,0.981104482392745,0.9881929453215095,20.258128547668456,0.04828824996948242
400,0.9840997030554426,0.9805066107642633,0.9876927953466224,20.688370180130004,0.05050568580627442
450,0.9840606688058824,0.9800281418647417,0.9880931957470226,23.53128981590271,0.05321049690246582
500,0.9843193595935595,0.980745773715384,0.9878929454717349,26.581477880477905,0.05318980216979981
