n_estimators,max_depth,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
5,5,0.7860201392810089,0.8458498023715415,0.7261904761904762,0.01819896697998047,0.005255579948425293
10,5,0.8641487337139511,0.8023715415019763,0.9259259259259259,0.043575406074523926,0.009220004081726074
5,7,0.7860201392810089,0.8458498023715415,0.7261904761904762,0.02126002311706543,0.005912065505981445
10,7,0.8641487337139511,0.8023715415019763,0.9259259259259259,0.042901039123535156,0.008139967918395996
