C,gamma,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
0.01,0.001,0.5,0.0,1.0,113.63811931610107,23.599317264556884
0.01,0.01,0.5,0.0,1.0,116.52528305053711,25.26221284866333
0.01,0.1,0.5,0.0,1.0,115.37161335945129,24.224900484085083
0.01,1.0,0.5,0.0,1.0,114.37644863128662,22.67827124595642
0.01,10.0,0.5013154319804838,0.0026308639609674625,1.0,102.05091428756714,22.761854934692384
0.01,100.0,0.9120149264874566,0.8923713810963315,0.9316584718785821,93.89518160820008,19.31685390472412
0.1,0.001,0.5,0.0,1.0,113.3822048664093,24.815173959732057
0.1,0.01,0.5,0.0,1.0,112.31983075141906,24.64896378517151
0.1,0.1,0.5,0.0,1.0,114.31112089157105,25.41115803718567
0.1,1.0,0.5024515811209271,0.00490316224185416,1.0,103.87806820869446,22.82115511894226
0.1,10.0,0.9173404133525324,0.9012210537755572,0.9334597729295078,86.33144493103028,17.922914505004883
0.1,100.0,0.961008360107545,0.954436133124748,0.9675805870903419,42.03197717666626,8.253997993469238
10.0,0.001,0.5,0.0,1.0,113.1537790775299,24.181078147888183
10.0,0.01,0.5025711983458075,0.0051423966916149255,1.0,113.78789730072022,24.585289812088014
10.0,0.1,0.9183973225801629,0.9031345718804428,0.9336600732798832,82.35527534484864,16.891729307174682
10.0,1.0,0.9577344974108015,0.950489908681937,0.9649790861396663,45.583458709716794,7.9766669273376465
10.0,10.0,0.9695102669125453,0.9660366444830218,0.9729838893420684,22.31120843887329,3.8930099487304686
10.0,100.0,0.9845778644066538,0.9814633340673862,0.9876923947459215,12.125386238098145,2.1510074138641357
100.0,0.001,0.5025711983458075,0.0051423966916149255,1.0,116.17636046409606,26.008975124359132
100.0,0.01,0.9183973225801629,0.9031345718804428,0.9336600732798832,86.0067433834076,17.248177433013915
100.0,0.1,0.9577344974108015,0.950489908681937,0.9649790861396663,38.552777194976805,7.555005645751953
100.0,1.0,0.9691807195766096,0.9656776498111006,0.9726837893421185,19.493089389801025,3.815222692489624
100.0,10.0,0.9779091358786747,0.9739293793632046,0.9818888923941451,14.207034683227539,2.3305569171905516
100.0,100.0,0.9862545194104996,0.9836159436247524,0.9888930951962468,10.00988473892212,1.581954288482666
