C,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
1.0,0.8295640385091009,0.7397769099431729,0.919351167075029,0.4271284580230713,0.02648468017578125
1.4384498882876628,0.8572566265349332,0.8013658385217513,0.913147414548115,0.29001679420471194,0.02524123191833496
2.0691380811147897,0.8749947738374635,0.8372422831517744,0.9127472645231525,0.4514299869537354,0.026111555099487305
2.976351441631318,0.889761260238406,0.8630729543524083,0.9164495661244036,0.43635129928588867,0.027837514877319336
4.281332398719393,0.9007214454291453,0.8808907729574983,0.9205521179007923,0.49459409713745117,0.026524162292480467
6.158482110660264,0.910927804093357,0.8956001881844209,0.9262554200022933,0.5811599254608154,0.02595343589782715
8.858667904100825,0.9208866592889988,0.9091141461489404,0.9326591724290575,0.6498336791992188,0.024748706817626955
12.742749857031335,0.9287207734114779,0.919278821816809,0.9381627250061466,0.9062273025512695,0.026418590545654298
18.329807108324356,0.9358175703935128,0.927769213829553,0.9438659269574728,0.8547692775726319,0.024107646942138673
26.366508987303583,0.9438555238845909,0.936140417609257,0.9515706301599248,0.699653434753418,0.02475605010986328
37.926901907322495,0.9489184468591976,0.9411629110814312,0.9566739826369641,1.1446359157562256,0.02501845359802246
54.55594781168517,0.952831808506607,0.9455875329251239,0.96007608408809,1.222005558013916,0.02633981704711914
78.47599703514611,0.9565351291810096,0.9498923230480157,0.9631779353140034,1.2708126068115235,0.025180244445800783
112.88378916846884,0.9591024651358013,0.9519252438818613,0.9662796863897414,1.9421582221984863,0.023255348205566406
162.3776739188721,0.9617357004454897,0.9559910140509128,0.9674803868400668,1.7765068531036377,0.02552170753479004
233.57214690901213,0.9640213822615955,0.9588613269575612,0.9691814375656296,2.280704927444458,0.02429656982421875
335.9818286283781,0.9660675900944765,0.9612527419728476,0.970882438216105,1.9520097255706788,0.025719261169433592
483.2930238571752,0.9670158191710934,0.9624486997257312,0.9715829386164554,3.5883039474487304,0.026458168029785158
695.1927961775606,0.9681141804581015,0.9636448719745351,0.972583488941668,2.49983606338501,0.025348901748657227
1000.0,0.9693125703465698,0.9648409012260586,0.9737842394670808,3.585503625869751,0.019281291961669923
