method,transformation,accuracy,euk_acc,pro_acc,learning time,prediction time
EukRep,freq,0.9705789270043361,0.9668734645667039,0.9742843894419684,48.88756241798401,0.11302833557128907
EukRep,clr,0.9375677202632522,0.9277672118676303,0.947368228658874,31.88783006668091,0.02574920654296875
EukRep,k-means(k=704),0.9718162832577161,0.9685476767231886,0.9750848897922435,92.3544093132019,0.20694270133972167
linear svc,freq,0.9124775469642822,0.9060040268034102,0.9189510671251542,6.120607900619507,0.09674282073974609
linear svc,clr,0.9430787114976145,0.9339860920845287,0.9521713309107005,73.96495718955994,0.06215262413024902
linear svc,k-means(k=128),0.9363106121817039,0.9264534958545088,0.9461677285088991,0.8065508842468262,0.09329428672790527
kernel svc,freq,0.9878300460280313,0.9863664963092402,0.9892935957468223,71.88408451080322,13.406083250045777
kernel svc,clr,0.9887271323675291,0.9881604686878855,0.9892937960471727,63.507666778564456,12.325633764266968
kernel svc,k-means(k=896),0.9880288710303958,0.9869642964390817,0.9890934456217098,42.98127160072327,9.628357553482056
logistic regression,freq,0.9693819123137036,0.9650796351853389,0.9736841894420685,6.261088848114014,0.03688688278198242
logistic regression,clr,0.9402219551435167,0.9314746308525212,0.9489692794345121,39.91847724914551,0.04320459365844727
logistic regression,k-means(k=704),0.9704690683418459,0.9667538473418235,0.9741842893418682,5.0596390724182125,0.03383278846740723
random forest,freq,0.9790051816213184,0.9714184186216777,0.9865919446209592,27.274638748168947,0.09323806762695312
random forest,clr,0.9780973048192253,0.9701029151425539,0.9860916944958966,28.274105739593505,0.09093098640441895
random forest,k-means(k=960),0.978703609887349,0.9720160757542391,0.9853911440204586,26.427935552597045,0.09069147109985351
neural network,freq,0.9746740014898594,0.9710602104347975,0.9782877925449212,1364.8845847129821,0.4333646297454834
neural network,clr,0.983102945737883,0.9787129958788185,0.9874928955969476,18.098614025115968,0.04474983215332031
neural network,k-means(k=320),0.9817482914179785,0.9805065392656231,0.9829900435703337,762.8679318904876,0.17841997146606445
