C,gamma,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
1000,1,0.974863352,0.970939664,0.978787041,35.94411931,7.176297808
1000,100,0.982071419,0.978951444,0.985191394,26.99895091,4.570722342
1000,500,0.986643993,0.984094341,0.989193646,31.231919,6.462275267
1000,1000,0.988319541,0.986845037,0.989794046,41.60936451,8.072593355
1000,1500,0.989016245,0.988638795,0.989393696,50.70174708,10.07027545
1000,5000,0.977956266,0.990432695,0.965479837,387.9099925,24.66183696
