C,gamma,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
1000.0,1.0,0.9749645345233068,0.9703415776031938,0.9795874914434194,37.94928650856018,7.93999171257019
1000.0,100.0,0.9816028911932525,0.9781143377652957,0.9850914446212096,28.404406690597533,4.959640836715698
1000.0,500.0,0.9872527807276054,0.9848116153830755,0.9896939460721352,32.7850860118866,6.932529258728027
1000.0,1000.0,0.9884987885305389,0.9872035308888425,0.9897940461722353,41.608608865737914,8.860746908187867
1000.0,1500.0,0.9890065009819022,0.9885191058666065,0.9894938960971977,55.08443441390991,10.652228736877442
1000.0,5000.0,0.9792461618547558,0.9909112358682938,0.9675810878412179,385.1509996414185,25.758525800704955
