C,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
1.0,0.7804969910011972,0.5898114437863392,0.9711825382160549,0.538603687286377,0.02409505844116211
1.4384498882876628,0.8228532999928044,0.7084447758803628,0.9372618241052457,0.4303867816925049,0.027230119705200194
2.0691380811147897,0.8532817851176725,0.7876125031101908,0.9189510671251542,0.3401022911071777,0.025824451446533205
2.976351441631318,0.873726748889516,0.8358067334559296,0.9116467643231025,0.5338900089263916,0.02520465850830078
4.281332398719393,0.888482592807651,0.8670193217924995,0.9099458638228022,0.6127781867980957,0.025126123428344728
6.158482110660264,0.8994724362163051,0.8851967070586317,0.9137481653739783,0.5651613712310791,0.02594723701477051
8.858667904100825,0.9091316834584099,0.8981116494164281,0.9201517175003918,0.5896007061004639,0.024506473541259767
12.742749857031335,0.9185334828251694,0.9097109452978204,0.9273560203525186,0.6729531288146973,0.026376008987426758
18.329807108324356,0.9291743782341302,0.9223875826881771,0.9359611737800831,0.6151834011077881,0.02629222869873047
26.366508987303583,0.9364827379982792,0.9304001492891605,0.9425653267073978,0.7280478477478027,0.02409391403198242
37.926901907322495,0.9437529738393449,0.93733601786894,0.9501699298097497,0.9263207912445068,0.026215362548828124
54.55594781168517,0.94949299764347,0.9439129632754385,0.9550730320115013,1.0699562549591064,0.024663114547729494
78.47599703514611,0.9542266663744863,0.9485772485607324,0.9598760841882402,1.0218301296234131,0.025647354125976563
112.88378916846884,0.9583691070527542,0.9533600785913052,0.9633781355142036,1.520087432861328,0.02501506805419922
162.3776739188721,0.9612232024495798,0.9570670685843556,0.965379336314804,1.5074907302856446,0.026053762435913085
233.57214690901213,0.9635600985014448,0.9593395098625225,0.9677806871403669,1.8963356494903565,0.026645851135253907
335.9818286283781,0.9647789481066971,0.9601762584475644,0.96938163776583,2.486373949050903,0.026380205154418947
483.2930238571752,0.9662064741988967,0.9617307103818884,0.970682238015905,2.311594915390015,0.026718711853027342
695.1927961775606,0.9680527714401291,0.9641225543890156,0.9719829884912426,2.873089599609375,0.026305103302001955
1000.0,0.9692122557505494,0.9648404722342182,0.9735840392668805,3.3271191120147705,0.021884632110595704
